ref	value
C1	0.33uF
C2	0.1uF
C3	0.1uF
C4	39pF
C5	39pF
C6	10uF
C7	0.1u
C8	0.1u
C9	0.1u
C10	0.1u
C11	C
C12	1u
C13	1u
D1	3V3_ON
D2	1N4149
F1	approx 300mA
J1	RJ45_BASIC
J2	MICRO_SD
JP1	LCD_V_SELECT
JP2	K_LINE
JP3	L_LINE
JP4	SCS
K1	UART
LCD1	LCD16X2
LCD2	LCD_COG
MP1	SCREW_4-40
MP2	SCREW_4-40
MP3	SCREW_4-40
MP4	SCREW_4-40
P1	JTAG_PROG
P2	IO_1
P3	IO_2
R1	330R
R2	R
R3	60 Ohm
R4	60 Ohm
R5	4k7
R6	10k
R7	10k
R8	10k
R9	R_LCD_LED
R10	R_CON1
R11	R_CON2
SW1	SW_OFF_MOM
SW2	SW_OFF_MOM
SW3	SW_OFF_MOM
SW4	PWR_SW
U1	SP7805
U2	LM335
U3	LD1117
U4	LPC11C14
U5	MCP2561
W1	VBAT_T
W2	5V_T
W3	3V3_T
W4	12V_T
X1	20MHz
